Solution 60: (4,0), (6,1), (1,2), (5,3), (2,4), (0,5), (3,6), (7,7)
Solution 61: (4,0), (6,1), (1,2), (5,3), (2,4), (0,5), (7,6), (3,7)
Solution 62: (4,0), (6,1), (3,2), (0,3), (2,4), (7,5), (5,6), (1,7)
Solution 63: (4,0), (7,1), (3,2), (0,3), (2,4), (5,5), (1,6), (6,7)
Solution 64: (4,0), (7,1), (3,2), (0,3), (6,4), (1,5), (5,6), (2,7)
Solution 65: (5,0), (0,1), (4,2), (1,3), (7,4), (2,5), (6,6), (3,7)
Solution 66: (5,0), (1,1), (6,2), (0,3), (2,4), (4,5), (7,6), (3,7)
Solution 67: (5,0), (1,1), (6,2), (0,3), (3,4), (7,5), (4,6), (2,7)
Solution 68: (5,0), (2,1), (0,2), (6,3), (4,4), (7,5), (1,6), (3,7)
Solution 69: (5,0), (2,1), (0,2), (7,3), (3,4), (1,5), (6,6), (4,7)
Solution 70: (5,0), (2,1), (0,2), (7,3), (4,4), (1,5), (3,6), (6,7)
Solution 71: (5,0), (2,1), (4,2), (6,3), (0,4), (3,5), (1,6), (7,7)
Solution 72: (5,0), (2,1), (4,2), (7,3), (0,4), (3,5), (1,6), (6,7)
Solution 73: (5,0), (2,1), (6,2), (1,3), (3,4), (7,5), (0,6), (4,7)
Solution 74: (5,0), (2,1), (6,2), (1,3), (7,4), (4,5), (0,6), (3,7)
Solution 75: (5,0), (2,1), (6,2), (3,3), (0,4), (7,5), (1,6), (4,7)
Solution 76: (5,0), (3,1), (0,2), (4,3), (7,4), (1,5), (6,6), (2,7)
Solution 77: (5,0), (3,1), (1,2), (7,3), (4,4), (6,5), (0,6), (2,7)
Solution 78: (5,0), (3,1), (6,2), (0,3), (2,4), (4,5), (1,6), (7,7)
Solution 79: (5,0), (3,1), (6,2), (0,3), (7,4), (1,5), (4,6), (2,7)
Solution 80: (5,0), (7,1), (1,2), (3,3), (0,4), (6,5), (4,6), (2,7)
Solution 81: (6,0), (0,1), (2,2), (7,3), (5,4), (3,5), (1,6), (4,7)
Solution 82: (6,0), (1,1), (3,2), (0,3), (7,4), (4,5), (2,6), (5,7)
Solution 83: (6,0), (1,1), (5,2), (2,3), (0,4), (3,5), (7,6), (4,7)
Solution 84: (6,0), (2,1), (0,2), (5,3), (7,4), (4,5), (1,6), (3,7)
Solution 85: (6,0), (2,1), (7,2), (1,3), (4,4), (0,5), (5,6), (3,7)
Solution 86: (6,0), (3,1), (1,2), (4,3), (7,4), (0,5), (2,6), (5,7)
Solution 87: (6,0), (3,1), (1,2), (7,3), (5,4), (0,5), (2,6), (4,7)
Solution 88: (6,0), (4,1), (2,2), (0,3), (5,4), (7,5), (1,6), (3,7)
Solution 89: (7,0), (1,1), (3,2), (0,3), (6,4), (4,5), (2,6), (5,7)
Solution 90: (7,0), (1,1), (4,2), (2,3), (0,4), (6,5), (3,6), (5,7)
Solution 91: (7,0), (2,1), (0,2), (5,3), (1,4), (4,5), (6,6), (3,7)
Solution 92: (7,0), (3,1), (0,2), (2,3), (5,4), (1,5), (6,6), (4,7)
